"variation","mrr","first_mrr"
"hpttgswhloptb",20.5965,20.5965
"hpttgswhlopta",54.612,54.612
"hpttgswhlopta",118,118
"hpttgswhloptb",15,15
"hpttgswhlopta",15,15
"hpttgswhlopta",30.34,30.34
"hpttgswhlopta",60,60
"hpttgswhloptb",87,87
"hpttgswhloptb",242.23456,35.1944
"hpttgswhlopta",36.408,36.408
"hpttgswhloptb",15,59
"hpttgswhloptb",18.204,18.204
"hpttgswhloptb",15,15
"hpttgswhloptb",118,708
"hpttgswhlopta",15,15
"hpttgswhlopta","0.00000",35.1944
"hpttgswhlopta",118,58
"hpttgswhlopta",58,29
"hpttgswhlopta",87,58
"hpttgswhlopta",29,29
"hpttgswhlopta",58,59
"hpttgswhloptb",59,59
"hpttgswhloptb",41.193,41.193
"hpttgswhlopta",149.7,149.7
"hpttgswhlopta","0.00000",29
"hpttgswhlopta","0.00000",15
"hpttgswhlopta","0.00000",275
"hpttgswhlopta",17.16375,81.0129
"hpttgswhloptb","0.00000",175.972
"hpttgswhloptb","0.00000",232
"hpttgswhlopta",15,15
"hpttgswhloptb","0.00000",59
"hpttgswhloptb",157,59
"hpttgswhlopta",15,15
"hpttgswhlopta",177,177
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",15,59
"hpttgswhloptb",18.204,18.204
"hpttgswhlopta","0.00000",18.204
"hpttgswhloptb",26.3958,26.3958
"hpttgswhlopta",60,45
"hpttgswhloptb",82.386,61.7895
"hpttgswhlopta","0.00000",90
"hpttgswhloptb","0.00000",87
"hpttgswhlopta",34.3275,34.3275
"hpttgswhlopta","0.00000",87
"hpttgswhlopta",214.8072,214.8072
"hpttgswhloptb","0.00000",119.4597
"hpttgswhloptb",177,177
"hpttgswhlopta",15,15
"hpttgswhloptb",30,30
"hpttgswhlopta",15,29
"hpttgswhlopta",61.7895,15
"hpttgswhloptb",59,59
"hpttgswhloptb",239.33133,34.19019
"hpttgswhlopta",58,58
"hpttgswhlopta","0.00000",59
